won,my_trophies,opponent_trophies,my_crowns,opponent_crowns,my_deck,opponent_deck,my_average_card_level,opponent_average_card_level
0,6859,6859,1,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Firecracker|P.E.K.K.A|Sparky|Elixir Collector|Mirror|Electro Wizard|Tornado|Freeze|,8.875,7.125
0,6886,6911,0,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Elite Barbarians|Valkyrie|Giant Snowball|Bomber|Electro Wizard|Princess|Miner|Baby Dragon|,8.875,8.875
0,6916,6916,0,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Princess|Knight|Ice Spirit|The Log|Goblin Gang|Goblin Barrel|Inferno Tower|Rocket|,8.875,9.125
1,6886,6886,3,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Mega Knight|Wizard|Royal Hogs|Valkyrie|Witch|Elixir Golem|Vines|Barbarians|,8.875,8.375
0,6916,6916,0,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Inferno Dragon|Golden Knight|Executioner|Graveyard|Freeze|Zappies|Bowler|Tornado|,8.875,5.625
0,6946,6937,0,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Lumberjack|Boss Bandit|Musketeer|Skeletons|Goblin Gang|Skeleton Army|P.E.K.K.A|Witch|,8.875,6.75
0,6972,7008,0,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Skeleton Army|Knight|Magic Archer|Bomb Tower|Mini P.E.K.K.A|Skeleton Barrel|Arrows|Fireball|,8.875,9.625
1,6942,6945,1,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Witch|Berserker|Giant Skeleton|Mega Knight|Baby Dragon|Ronin|Skeleton Army|Mini P.E.K.K.A|,8.875,6.375
1,6912,6915,3,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Elite Barbarians|Little Prince|Mini P.E.K.K.A|Dart Goblin|Arrows|Sparky|Lumberjack|Fireball|,8.875,7.5
1,6882,6883,2,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Skeleton Army|Giant Skeleton|Minion Horde|Clone|Arrows|Tesla|Sparky|Goblin Barrel|,8.875,7.625
0,6911,6919,0,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Inferno Dragon|Golden Knight|Executioner|Bowler|Freeze|Zappies|Graveyard|Tornado|,8.875,5.625
1,6881,6882,1,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Witch|Knight|Ice Wizard|Barbarian Barrel|Goblin Hut|Vines|Graveyard|Poison|,8.875,6.625
0,6909,6927,0,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Barbarians|Wizard|Skeleton King|Archers|Bats|Arrows|Witch|Ronin|,8.875,8.375
1,6879,6880,1,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Valkyrie|Golden Knight|Goblinstein|Poison|Minion Horde|Mother Witch|Mirror|Skeleton Army|,8.875,6.125
1,6849,6849,3,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Inferno Dragon|Elite Barbarians|Electro Dragon|Battle Healer|Arrows|Elixir Golem|Rage|Heal Spirit|,8.875,8.25
